id,pid,diet_veg,diet_gf,diet_sf,diet_egg,diet_nut,diet_soy,diet_wheat,diet_fish,diet_shellfish,diet_oth_allergy,diet_oth_res,diet_none,diet_pna,purch_groc_ol_freq,purch_milk_is,purch_milk_ol,purch_milk_pna,purch_milk_is_freq,purch_milk_is_ware,purch_milk_is_bigbox,purch_milk_is_super,purch_milk_is_spec,purch_milk_is_disc,purch_milk_is_conv,purch_milk_is_local,purch_milk_is_oth,purch_milk_is_othtxt,purch_milk_ol_freq,purch_milk_ol_loc,AttentionCheck1,cons_milk_freq,purch_milk_size,purch_milk_size_oth,milk_whole,milk_2pct,milk_1pct,milk_skim,milk_lf,milk_a2,milk_cream,milk_homo,milk_oth,milk_pna,milk_othtxt,milk_price,spend,rank_brand,rank_fat,rank_claim,rank_price,notice_sellby,last_exp_nps,last_exp_nbr,poor_exp,poor_exp_taste,poor_exp_smell,poor_exp_sick,poor_exp_sour,poor_exp_pkg,poor_exp_2day,poor_exp_expired,poor_exp_texture,poor_exp_oth,poor_exp_pna,poor_exp_badb4exp,poor_exp_othtxt,poor_exp_freq,poor_exp_chg_switch_st,poor_exp_chg_switch_sp,poor_exp_chg_switch_brand,poor_exp_chg_switch_type,poor_exp_chg_nc,poor_exp_chg_pna,poor_exp_chg_switch_detail,poor_exp_chg_switch_alloc,good_exp_is_ret,good_exp_is_nps,good_exp_is_nbr,poor_exp_is_ret,poor_exp_is_nps,poor_exp_is_nbr,good_exp_ic_ret,good_exp_ic_nps,good_exp_ic_nbr,poor_exp_ic_ret,poor_exp_ic_nps,poor_exp_ic_nbr,good_exp_olsp_ret,good_exp_olsp_nps,good_exp_olsp_nbr,poor_exp_olsp_ret,poor_exp_olsp_nps,poor_exp_olsp_nbr,good_exp_stweb_ret,good_exp_stweb_nps,good_exp_stweb_nbr,poor_exp_stweb_ret,poor_exp_stweb_nps,poor_exp_stweb_nbr,birth_yr,age,age_cat,gender,gender_txt,eth_white,eth_me_na,eth_black,eth_native,eth_asian,eth_pi,eth_latino,eth_oth,eth_pna,eth_othtxt,edu,emp,hhinc,ms,child,state
R_DqTYqpW9JGwsXIZ,569ac88daf9ad70006640a66,,,,,,,,,,,,None,,Several times a month,In a store,,,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)",,,,,,,,,,Strongly Disagree,Multiple times a week,Gallon,,Whole milk,,,,,,,,,,,$2-4,$100-150,2,4,3,1,No,Promoter,9,No,,,,,,,,,,,,,,,,,,,,,,Neutral,Detractor,6,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Male,,White,,,,,,,,,,High school diploma/ GED,Working full-time,"$10,000 to $19,999",Never married,Yes,Kentucky
R_3dDGhN989FxlRGH,56a93cf24020250005d62f2b,,,,,,,,,,,,None,,About once a month,In a store,Online (through an app or web browser),,Approximately once a week,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)",,,"Discount chains (Aldi, Dollar Tree, Dollar General, Big Lots, etc.)",,,,,Approximately every 10 - 14 days,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Once a day,Gallon,,,2%,,,,,,,,,,$4+,$50-100,3,1,4,2,No,Passive,7,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Detractor,5,,,NA,,,NA,,,NA,,,NA,,,NA,Very Likely,Detractor,6,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working full-time,"$10,000 to $19,999",Married,No,Pennsylvania
R_1DI2IMW2566oMC2,5a7255c8c2eb6c00017e2dcf,,,,,,,,,,,,None,,About once a month,In a store,,,Approximately every 10 - 14 days,,,,"Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,,,,,,,Strongly Disagree,Less than once a week,Quart,,Whole milk,,,,,,,,,,,$2-4,$25-50,4,2,3,1,Yes,Detractor,5,Yes,,,,When the milk has a sour taste,,,,,,,,,Rarely,,,,,"No, nothing changed",,,,Likely,Detractor,5,Neutral,Detractor,0,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Non-binary / third gender,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working full-time,"$60,000 to $69,999",Married,Yes,Missouri
R_25GCl55NtyDXDMJ,5d901b10d7a21a001d635d12,,,,,,,,,,,,None,,About once a month,In a store,,,Approximately once a week,,,,,,,Small/local grocery stores,,,,,Strongly Disagree,Multiple times a week,Gallon,,Whole milk,,,,,,,,,,,$4+,$100-150,4,2,3,1,Yes,Passive,7,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Detractor,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Male,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working part-time,"$70,000 to $79,999",Never married,No,Indiana
R_CkqZqmHa8NQxSmJ,5dac4dad5e53cc001499f1f6,,,,,,,,,,,,None,,About once a month,In a store,,,Less frequently than every 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,,,Strongly Disagree,Once a day,Gallon,,Whole milk,,,,,,,,,,,$2-4,Less than $25,2,1,4,3,Yes,Passive,8,Yes,,When milk does not smell as I expected,,,,,,,,,,,Rarely,Switch stores,,,,,,"Yes, but I spend less on each trip",Just the milk,Likely,Passive,8,Likely,Passive,7,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Male,,White,,,,,,,,,,Associate degree in college (2-year),Unemployed and looking for work,"Less than $10,000",Never married,No,Florida
R_2OU5c7F7ZWhPS04,5e434446c3444f1e6542bc70,,,,,,,,,,,,None,,Once in a few months or longer,In a store,,,Approximately every 10 - 14 days,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)","Large/national big-box stores (Walmart, Target, K-Mart, etc.)",,,,,,,,,,Strongly Disagree,Once a day,More than one gallon,,Whole milk,,,,,,,Traditional homogenized milk,,,,$4+,$100-150,3,1,4,2,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Male,,,,,,Asian (including South Asian),,,,,,Graduate Degree,Working full-time,"$60,000 to $69,999",Married,No,California
R_26bPzw152KXYfmI,5e483052a742a3000f7c15e8,,,,,,,,,,,,None,,About once per week,In a store,,,Approximately once a week,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)","Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,,,,,,,Strongly Disagree,Multiple times a week,Half-gallon,,,2%,,,,,,,,,,$2-4,$100-150,4,1,2,3,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Graduate Degree,Working full-time,"$60,000 to $69,999",Never married,No,Ohio
R_1nNomqX8CVw1mDK,5e6ef5fbf14d264ae2ef3867,,,,,,,,,,,,None,,Once in a few months or longer,In a store,,,Less frequently than every 14 days,,,,,,,Small/local grocery stores,,,,,Strongly Disagree,Less than once a week,Half-gallon,,Whole milk,,,,,,,,,,,$4+,$150+,1,4,2,3,Yes,Passive,7,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Detractor,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Male,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working full-time,"$90,000 to $99,999",Married,No,Tennessee
R_2YhcB8fR4S5UxiV,5e9f70a9eec34b1108c84413,,,,,,,,,,,,None,,About once a month,In a store,,,Approximately once a week,,,"Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)","Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,,,,,,,Strongly Disagree,Once a day,Half-gallon,,,,1%,,,,,,,,,$2-4,$50-100,4,2,1,3,Yes,Passive,7,Yes,,When milk does not smell as I expected,When you get sick from the food product,When the milk has a sour taste,When the milk container is dirty or damaged,,When the milk is expired,When milk has a different texture than I expected,,,,,Rarely,,,,Switch milk type,,,,,Likely,Passive,7,Very unlikely,Detractor,1,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Male,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working full-time,"$20,000 to $29,999",Never married,No,Missouri
R_xeZ6ZjgYAXYIOQh,5ea9d795dec14d13eb7af3d9,,,,,,,,,,,,None,,About once per week,In a store,Online (through an app or web browser),,Approximately once a week,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)","Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,,,,,Approximately once a week,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Multiple times a week,Gallon,,Whole milk,,,,,,,,,,,$2-4,$50-100,4,2,3,1,Yes,Passive,8,Yes,When milk was not sour but it did not taste as I expected,When milk does not smell as I expected,When you get sick from the food product,When the milk has a sour taste,,,,,,,,,Rarely,,,,,"No, nothing changed",,,,Likely,Detractor,6,Unlikely,Detractor,3,,,NA,,,NA,,,NA,,,NA,Likely,Passive,7,Unlikely,Detractor,2,1990,32,26-35,Male,,White,,Black or African American,,,,,,,,Graduate Degree,Working full-time,"$100,000 to $149,999",Married,Yes,Maryland
R_2QQE3OMvKjKBWzP,5eb9af967fbf4b0d17bbe946,,,,,,,,,,,,None,,Once in a few months or longer,In a store,,,Approximately once a week,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)","Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,,,,,,,Disagree,Multiple times a week,Half-gallon,,Whole milk,2%,,,,,,,,,,$2-4,$150+,4,2,3,1,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Passive,8,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Some college but no degree,Working full-time,"$100,000 to $149,999",Living with a partner,No,Florida
R_2VF9KjjZbZprz3d,5f50b1bbe29c992335098fb1,,,,,,,,,,,,None,,Once in a few months or longer,In a store,,,Multiple times a week,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,Convenience stores,Small/local grocery stores,,,,,Strongly Disagree,Once a week,Half-gallon,,,2%,1%,,Lactose-free milk,,,,,,,$2-4,$100-150,4,3,2,1,Yes,Promoter,10,Yes,,When milk does not smell as I expected,When you get sick from the food product,When the milk has a sour taste,,,When the milk is expired,When milk has a different texture than I expected,,,,,Rarely,,,Switch milk producer / brand,,,,,,Very Likely,Promoter,10,Neutral,Detractor,4,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,High school diploma/ GED,Unemployed and looking for work,"$50,000 to $59,999",Married,No,New Jersey
R_eFCmoFRu5pxVFXr,5f974c72a0ed8c0f9ce724ea,,,,,,,,,,,,None,,Several times a month,,Online (through an app or web browser),,,,,,,,,,,,Less frequently than every 14 days,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Multiple times a week,Half-gallon,,Whole milk,,,,,,,,,,,$4+,$100-150,3,4,2,1,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,Very Likely,Passive,8,,,NA,1990,32,26-35,Male,,White,,,,Asian (including South Asian),,,,,,Bachelor's degree in college (4-year),Working part-time,"$20,000 to $29,999",Never married,No,California
R_30tPq0xCrqrlEAS,5fadd599050603201f41b312,,,,,,,,,,,,None,,About once a month,In a store,Online (through an app or web browser),,Approximately every 10 - 14 days,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)","Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)","Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)","Discount chains (Aldi, Dollar Tree, Dollar General, Big Lots, etc.)",,,,,Less frequently than every 14 days,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Multiple times a week,Half-gallon,,,2%,1%,,Lactose-free milk,,,,,,,$2-4,$25-50,4,2,3,1,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,Very Likely,Promoter,10,,,NA,1990,32,26-35,Female,,,,,,Asian (including South Asian),,,,,,Bachelor's degree in college (4-year),Working full-time,"$150,000 or more",Married,No,Ohio
R_2wAAM7THhEGPy4o,5fc2c0cfdb80f9025c6b4810,,,,,,,,,,,,None,,About once per week,,Online (through an app or web browser),,,,,,,,,,,,Approximately once a week,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Multiple times a week,Half-gallon,,Whole milk,,,,,,,,,,,$2-4,$150+,3,2,4,1,Yes,Promoter,10,Yes,When milk was not sour but it did not taste as I expected,When milk does not smell as I expected,When you get sick from the food product,When the milk has a sour taste,When the milk container is dirty or damaged,,When the milk is expired,When milk has a different texture than I expected,,,,,Rarely,,,,,"No, nothing changed",,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,Very Likely,Promoter,9,Likely,Detractor,4,1990,32,26-35,Female,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working full-time,"$50,000 to $59,999",Married,Yes,Michigan
R_2txU15wElYQYAle,5fc6e3a0040c3f0e7cb45c8a,,,,,,,,,,,,None,,About once per week,In a store,,,Approximately every 10 - 14 days,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)","Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)","Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)","Discount chains (Aldi, Dollar Tree, Dollar General, Big Lots, etc.)",Convenience stores,,,,,,Strongly Disagree,Once a day,Gallon,,Whole milk,2%,,,,,,,,,,$2-4,$50-100,2,1,3,4,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Associate degree in college (2-year),A homemaker or stay-at-home parents,"$40,000 to $49,999",Married,No,Tennessee
R_O3GIdL8bJeNa0Qp,5ff5f6c52171e10f72d3610c,,,,,,,,,,,,None,,About once per week,,Online (through an app or web browser),,,,,,,,,,,,Approximately once a week,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Less than once a week,Half-gallon,,Whole milk,,,,,,,,,,,$2-4,$150+,4,1,2,3,No,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,Very Likely,Promoter,10,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Graduate Degree,Working full-time,"$100,000 to $149,999",Married,Yes,Oklahoma
R_XFf9xET874NqAGR,5ffd0c9a38e1701dd161d59b,,,,,,,,,,,,None,,About once per week,In a store,Online (through an app or web browser),,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)",,,,,,,,Approximately every 10 - 14 days,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Once a day,Half-gallon,,,2%,,,,,,,,,,$2-4,$100-150,2,1,4,3,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,Very Likely,Promoter,10,,,NA,1990,32,26-35,Female,,,,,,,,,Other (please specify),,Romanian,Did not complete high school,Working part-time,"$40,000 to $49,999",Never married,No,California
R_OrlynRNBn8K9ndn,607dc630d2d30aa7e8699c23,,,,,,,,,,,,None,,About once a month,In a store,Online (through an app or web browser),,Approximately every 10 - 14 days,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)","Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,Convenience stores,,,,Less frequently than every 14 days,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Multiple times a week,Gallon,,,2%,1%,,,,,,,,,$2-4,$100-150,3,1,4,2,Yes,Passive,8,Yes,When milk was not sour but it did not taste as I expected,When milk does not smell as I expected,,When the milk has a sour taste,When the milk container is dirty or damaged,,,,,,,,Rarely,,,,,"No, nothing changed",,,,Likely,Passive,8,Neutral,Detractor,4,,,NA,,,NA,,,NA,,,NA,Likely,Passive,8,Neutral,Detractor,3,1990,32,26-35,Male,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working full-time,"$50,000 to $59,999",Living with a partner,No,New Jersey
R_2OPxPPfCQA7QdHE,60819dd29a63569b48b584ea,,,,,,,,,,,Other dietary restriction,,,Once in a few months or longer,In a store,,,Approximately once a week,,,,"Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,Convenience stores,Small/local grocery stores,,,,,Strongly Disagree,Once a week,Half-gallon,,Whole milk,,,,,,,,,,,$2-4,$50-100,2,1,4,3,No,Passive,8,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,9,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,,,,,Asian (including South Asian),,,,,,Bachelor's degree in college (4-year),Working full-time,"$150,000 or more",Married,No,New York
R_BXFTjrTWHoVLmWR,60bd4bfc88b646e72d772977,,,,,,,,,,,,None,,About once a month,In a store,,,Approximately once a week,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,,,Strongly Disagree,Once a week,Half-gallon,,,2%,,,,,,,,,,$2-4,$100-150,1,3,4,2,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Passive,7,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Associate degree in college (2-year),Working part-time,"$70,000 to $79,999",Never married,No,Arizona
R_2txMUTjEzKEnMd5,60bff9298f56d55c8ecd9adf,Vegetarian,,,,,,,,,,,,,About once per week,In a store,,,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)","Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,,,,,,,Strongly Disagree,Less than once a week,Quart,,Whole milk,2%,,,,,,,,,,$4+,$150+,2,4,3,1,Yes,Passive,8,No,,,,,,,,,,,,,,,,,,,,,,Likely,Detractor,5,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working part-time,"$30,000 to $39,999",Living with a partner,No,Oregon
R_2thaazWR4pReJBY,60cac6e750602e711ed5efc6,,,,,,,,,,,Other dietary restriction,,,About once per week,In a store,Online (through an app or web browser),,Less frequently than every 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,Less frequently than every 14 days,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Once a week,Quart,,,,1%,,,,,,,,,$2-4,$25-50,4,2,3,1,Yes,Passive,7,Yes,When milk was not sour but it did not taste as I expected,,,When the milk has a sour taste,,When the milk is less than or equal to 2 days from expiration date,When the milk is expired,When milk has a different texture than I expected,,,,,Sometimes,,,,,"No, nothing changed",,,,Very Likely,Promoter,10,Likely,Passive,7,,,NA,,,NA,,,NA,,,NA,Very Likely,Promoter,10,Neutral,Detractor,5,1990,32,26-35,Female,,,,Black or African American,,,,,,,,Some college but no degree,Other,"$30,000 to $39,999",Living with a partner,No,Maryland
R_rfEZQsWErdl5ALT,60ceeec3a0bed4a1e603b8d7,,,,,,,,,,,,None,,About once per week,In a store,Online (through an app or web browser),,Less frequently than every 14 days,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)",,,"Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,,Small/local grocery stores,,,Less frequently than every 14 days,Instacart,Strongly Disagree,Less than once a week,Half-gallon,,,,,Skim milk,,,,,,,,$2-4,$25-50,3,1,4,2,Yes,Passive,7,No,,,,,,,,,,,,,,,,,,,,,,Likely,Passive,8,,,NA,Likely,Passive,8,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Male,,,,,,Asian (including South Asian),,,,,,Bachelor's degree in college (4-year),Working full-time,"$150,000 or more",Never married,No,New York
R_6YjX2DACAWkTk7D,60d13c261171b69977e81f9b,,,,,,,,,,,,None,,About once per week,In a store,Online (through an app or web browser),,Approximately once a week,,,"Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,Approximately every 10 - 14 days,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Multiple times a week,Gallon,,,,,Skim milk,,,,,,,,$4+,$150+,1,2,4,3,Yes,Promoter,9,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,9,,,NA,,,NA,,,NA,,,NA,,,NA,Very Likely,Promoter,9,,,NA,1990,32,26-35,Male,,White,,,,,,,,,,Graduate Degree,Working full-time,"$100,000 to $149,999",Never married,No,Connecticut
R_xAdNHAOrLbV5Xy1,6108295fdd0270d7544b5a8a,Vegetarian,,,,,,,,,,,,,About once a month,In a store,Online (through an app or web browser),,Less frequently than every 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,Small/local grocery stores,,,Less frequently than every 14 days,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Once a week,Half-gallon,,Whole milk,,,,,,,,,,,$2-4,$25-50,1,4,2,3,Yes,Detractor,4,Yes,,When milk does not smell as I expected,When you get sick from the food product,When the milk has a sour taste,,,,When milk has a different texture than I expected,,,,,Rarely,Switch stores,,,,,,"Yes, but less frequently",20-50%,Very Likely,Detractor,5,Unlikely,Detractor,0,,,NA,,,NA,,,NA,,,NA,Likely,Detractor,3,Very Unlikely,Detractor,0,1990,32,26-35,Non-binary / third gender,,White,,,,,,,,,,Graduate Degree,Unemployed and looking for work,"Less than $10,000",Never married,No,Montana
R_23VIBO0x9mYVuFz,610d3f5ffdbd944897265f6e,,,,,,,,,,,,None,,Once in a few months or longer,In a store,,,Approximately once a week,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)","Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,Small/local grocery stores,,,,,Strongly Disagree,Multiple times a week,Gallon,,,,1%,,,,,,,,,$2-4,$100-150,2,1,4,3,Yes,Promoter,10,Yes,When milk was not sour but it did not taste as I expected,,,When the milk has a sour taste,When the milk container is dirty or damaged,When the milk is less than or equal to 2 days from expiration date,When the milk is expired,,,,,,Rarely,,,,,"No, nothing changed",,,,Very Likely,Detractor,1,Neutral,Detractor,1,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Bachelor's degree in college (4-year),A homemaker or stay-at-home parents,"$60,000 to $69,999",Married,Yes,Washington
R_3MEiFHz3Umdwgw2,6115d535dbd6948950e5441a,,,,Eggs allergy,,,,,,,,,,About once a month,In a store,,,Approximately every 10 - 14 days,,,"Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,Small/local grocery stores,,,,,Strongly Disagree,Multiple times a week,Gallon,,,2%,,,,,,,,,,$2-4,$100-150,4,1,2,3,Yes,Promoter,10,Yes,When milk was not sour but it did not taste as I expected,When milk does not smell as I expected,,When the milk has a sour taste,,,,,,,,,Rarely,,,Switch milk producer / brand,Switch milk type,,,,,Very Likely,Passive,8,Likely,Detractor,6,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Male,,White,,,,,,,,,,Some college but no degree,Unemployed and looking for work,"$30,000 to $39,999",Never married,No,North Carolina
R_1dHbwwRgN4gbOr1,614fb4cad115bf288f786dee,Vegetarian,,,,,,,,,,,,,About once per week,In a store,,,Less frequently than every 14 days,,,,"Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,,Small/local grocery stores,,,,,Strongly Disagree,Less than once a week,Half-gallon,,,2%,,,,,,,,,,$2-4,$50-100,2,1,4,3,Yes,Detractor,5,Yes,,,,When the milk has a sour taste,,,When the milk is expired,,,,,,Rarely,,,,,"No, nothing changed",,,,Likely,Detractor,0,Neutral,Detractor,0,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working full-time,"$70,000 to $79,999",Never married,No,New York
R_3MQdLa0Ma0Rudnl,61622988becea395692152a3,,,,,,,,,,,,None,,Several times a month,In a store,,,Approximately once a week,,,"Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,Other (please specify),Local creamery ,,,Strongly Disagree,Multiple times a week,Gallon,,Whole milk,,,,,A2 milk,,,,,,$2-4,$50-100,2,1,3,4,Yes,Promoter,10,Yes,,,When you get sick from the food product,When the milk has a sour taste,,,When the milk is expired,When milk has a different texture than I expected,,,,,Rarely,,,,,"No, nothing changed",,,,Very Likely,Detractor,6,Likely,Detractor,4,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Female,,White,,,,,,,,,,Graduate Degree,A homemaker or stay-at-home parents,"$100,000 to $149,999",Married,Yes,Virginia
R_1QmcuZTCojtR5sM,6165ab1d62dc48b90438ea1d,,,,,,,,,,,,None,,More than once a week,In a store,,,Multiple times a week,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)",,,,,,,,,,Strongly Disagree,Multiple times a week,Gallon,,Whole milk,,,,,,,,,,,$4+,$150+,2,1,3,4,Yes,Promoter,10,Yes,,,,When the milk has a sour taste,When the milk container is dirty or damaged,When the milk is less than or equal to 2 days from expiration date,When the milk is expired,,,,,,Rarely,,,,,"No, nothing changed",,,,Very Likely,Promoter,9,Very unlikely,Detractor,1,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1990,32,26-35,Male,,White,,Black or African American,American Indian or Alaska Native,,,,,,,Bachelor's degree in college (4-year),Working full-time,"$100,000 to $149,999",Married,No,Alabama
